Date,CPI index
2024-12-01,139.4
2024-09-01,139.1
2024-06-01,138.8
2024-03-01,137.4
2023-12-01,136.1
2023-09-01,135.3
2023-06-01,133.7
2023-03-01,132.6
2022-12-01,130.8
2022-09-01,128.4
2022-06-01,126.1
2022-03-01,123.9
2021-12-01,121.3
2021-09-01,119.7
2021-06-01,118.8
2021-03-01,117.9
2020-12-01,117.2
2020-09-01,116.2
2020-06-01,114.4
2020-03-01,116.6
2019-12-01,116.2
2019-09-01,115.4
2019-06-01,114.8
2019-03-01,114.1
2018-12-01,114.1
2018-09-01,113.5
2018-06-01,113
2018-03-01,112.6
2017-12-01,112.1
2017-09-01,111.4
2017-06-01,110.7
2017-03-01,110.5
2016-12-01,110
2016-09-01,109.4
2016-06-01,108.6
2016-03-01,108.2
2015-12-01,108.4
2015-09-01,108
2015-06-01,107.5
2015-03-01,106.8
2014-12-01,106.6
2014-09-01,106.4
2014-06-01,105.9
2014-03-01,105.4
2013-12-01,104.8
2013-09-01,104
2013-06-01,102.8
2013-03-01,102.4
2012-12-01,102
2012-09-01,101.8
2012-06-01,100.4
2012-03-01,99.9
2011-12-01,99.8
2011-09-01,99.8
2011-06-01,99.2
2011-03-01,98.3
2010-12-01,96.9
2010-09-01,96.5
2010-06-01,95.8
2010-03-01,95.2
