Date,Seasonally Adjusted Turnover ($m),Retail_Data_Available
2010-01-01,20144.9,True
2010-02-01,19890.0,True
2010-03-01,19917.3,True
2010-04-01,20030.0,True
2010-11-01,20001.4,True
2018-01-01,26263.4,True
2018-10-01,26986.9,True
2018-11-01,27121.0,True
2018-12-01,27005.9,True
2019-01-01,27190.0,True
2019-03-01,27270.4,True
2019-04-01,27178.1,True
2019-05-01,27293.2,True
2019-06-01,27386.3,True
2019-07-01,27395.5,True
2019-08-01,27541.5,True
2019-09-01,27563.2,True
2019-10-01,27681.3,True
2019-11-01,27709.9,True
2019-12-01,27954.1,True
2020-01-01,27841.4,True
2020-02-01,27850.4,True
2020-03-01,29927.0,True
2020-04-01,24801.7,True
2020-05-01,28799.8,True
2020-06-01,29594.3,True
2020-07-01,30799.4,True
2020-08-01,29488.6,True
2020-09-01,29119.1,True
2020-10-01,29706.9,True
2020-11-01,31196.0,True
2020-12-01,30882.9,True
2021-01-01,30790.7,True
2021-02-01,30412.8,True
2021-03-01,30621.7,True
2021-04-01,30986.8,True
2021-05-01,30988.1,True
2021-06-01,30542.5,True
2021-07-01,29789.7,True
2021-08-01,29219.8,True
2021-09-01,29732.9,True
2021-10-01,31222.5,True
2021-11-01,32747.4,True
2021-12-01,32521.3,True
2022-01-01,32794.8,True
2022-02-01,33172.9,True
2022-03-01,33561.8,True
2022-04-01,33925.0,True
2022-05-01,34079.6,True
2022-06-01,34361.9,True
2022-07-01,34706.4,True
2022-08-01,34816.2,True
2022-09-01,35008.8,True
2022-10-01,35119.8,True
2022-11-01,35194.6,True
2022-12-01,34972.4,True
2023-01-01,35343.8,True
2023-02-01,35314.2,True
2023-03-01,35425.2,True
2023-04-01,35403.6,True
2023-05-01,35494.0,True
2023-06-01,35152.1,True
2023-07-01,35360.6,True
2023-08-01,35393.6,True
2023-09-01,35681.1,True
2023-10-01,35523.0,True
2023-11-01,35909.2,True
2023-12-01,35320.7,True
2024-01-01,35688.9,True
2024-02-01,35864.8,True
2024-03-01,35729.1,True
2024-04-01,35893.0,True
2024-05-01,36188.8,True
2024-06-01,36146.8,True
2024-07-01,36209.4,True
2024-08-01,36478.2,True
2024-09-01,36547.0,True
2024-10-01,36749.7,True
2024-11-01,36967.4,True
2024-12-01,36927.5,True
