Month,Year,Unemployment Rate (%)
January,2010,5.3
February,2010,5.3
March,2010,5.4
April,2010,5.5
May,2010,5.2
June,2010,5.1
July,2010,5.3
August,2010,5
September,2010,5.1
October,2010,5.3
November,2010,"5.1, 5.2"
December,2010,"4.9, 5.0"
January,2011,5
February,2011,5
March,2011,4.9
April,2011,5
May,2011,5
June,2011,4.9
July,2011,5.1
August,2011,5.3
September,2011,5.2
October,2011,5.2
November,2011,5.2
December,2011,5.2
January,2012,5
February,2012,5.2
March,2012,5.2
April,2012,5
May,2012,5.2
June,2012,5.2
July,2012,5.2
August,2012,5.1
September,2012,5.5
October,2012,5.4
November,2012,5.3
December,2012,5.4
January,2013,5.4
February,2013,5.4
March,2013,5.6
April,2013,5.6
May,2013,5.6
June,2013,5.7
July,2013,5.6
August,2013,5.8
September,2013,5.7
October,2013,5.8
November,2013,5.8
December,2013,5.9
January,2014,5.9
February,2014,5.9
March,2014,5.9
April,2014,5.8
May,2014,5.9
June,2014,"6.1, 6.0"
July,2014,6.2
August,2014,6.1
September,2014,6.2
October,2014,6.4
November,2014,6.3
December,2014,6.1
January,2015,6.3
February,2015,"6.2, 6.1"
March,2015,6.1
April,2015,6.1
May,2015,5.9
June,2015,6
July,2015,6.3
August,2015,6.1
September,2015,6.2
October,2015,5.9
November,2015,5.9
December,2015,5.7
January,2016,6
February,2016,5.7
March,2016,5.7
April,2016,5.6
May,2016,5.7
June,2016,5.7
July,2016,5.7
August,2016,5.6
September,2016,5.7
October,2016,5.6
November,2016,5.8
December,2016,5.8
January,2017,5.7
February,2017,5.9
March,2017,5.8
April,2017,5.6
May,2017,5.5
June,2017,5.6
July,2017,5.6
August,2017,5.5
September,2017,5.5
October,2017,5.4
November,2017,5.5
December,2017,5.6
January,2018,5.5
February,2018,5.6
March,2018,5.5
April,2018,5.5
May,2018,5.4
June,2018,5.3
July,2018,5.3
August,2018,5.2
September,2018,5
October,2018,5
November,2018,5.1
December,2018,5
January,2019,5
February,2019,"5.0, 4.9"
March,2019,"5.1, 5.0"
April,2019,5.2
May,2019,5.2
June,2019,"5.3, 5.2"
July,2019,"5.3, 5.2"
August,2019,5.3
September,2019,5.2
October,2019,5.3
November,2019,5.2
December,2019,"5.0, 5.1"
January,2020,"5.2, 5.3"
February,2020,5.1
March,2020,5.2
April,2020,"6.3, 6.2"
May,2020,"7.0, 7.1"
June,2020,7.4
July,2020,7.5
August,2020,6.8
September,2020,6.9
October,2020,7
November,2020,6.8
December,2020,"6.5, 6.6"
January,2021,"6.3, 6.4"
February,2021,5.8
March,2021,"5.7, 5.6"
April,2021,5.5
May,2021,5.1
June,2021,"5.0, 4.9"
July,2021,"4.7, 4.6"
August,2021,"4.6, 4.5"
September,2021,"4.7, 4.6"
October,2021,5.2
November,2021,4.6
December,2021,4.2
January,2022,4.2
February,2022,4
March,2022,4
April,2022,"3.8, 3.9"
May,2022,3.9
June,2022,"3.6, 3.5"
July,2022,"3.5, 3.4"
August,2022,3.5
September,2022,"3.6, 3.5"
October,2022,3.4
November,2022,"3.5, 3.4"
December,2022,3.5
January,2023,3.7
February,2023,"3.6, 3.5"
March,2023,"3.6, 3.5"
April,2023,3.7
May,2023,3.6
June,2023,3.5
July,2023,3.7
August,2023,3.7
September,2023,3.6
October,2023,"3.8, 3.7"
November,2023,3.9
December,2023,"4.0, 3.9"
January,2024,4.1
February,2024,3.7
March,2024,"3.9, 3.8"
April,2024,4.1
May,2024,4
June,2024,4.1
July,2024,4.2
August,2024,"4.1, 4.2"
September,2024,4.1
October,2024,4.1
November,2024,3.9
December,2024,4
