,Unemployment Rate (%) → fast_fashion,CPI_Index → fast_fashion,Unemployment Rate (%) → quiet_luxury,CPI_Index → quiet_luxury
1,0.0023386448322693532,6.496496148183831e-10,0.008618404134042634,0.0016184363005150733
2,0.010111039255221504,2.2655254393558726e-08,0.030754913524096598,0.00772989294236427
3,0.06947424180428219,2.1656020555263513e-11,0.02421834618992616,0.0026532281559731533
4,0.04416558061570281,9.601302255242887e-12,0.02987657618670135,0.0008270885863105378
5,0.08895721299174546,2.1131452519469492e-07,0.06807362269351351,0.0019751726168350733
6,0.34422842320895264,3.9282414341426686e-08,0.03284448944354628,0.006040361777010263
7,0.2630220313787825,1.0759632199718279e-07,0.0510936929254629,0.012061609256571133
8,0.36155768292627666,2.2134519895428914e-08,0.06924532144591668,0.0012383580775748354
9,0.5828020738205719,7.333037219082644e-05,0.019508493548315464,0.002919585101950526
10,0.3504692838226249,5.033319612593611e-05,0.024640988926168783,0.0018788325752054982
11,0.08883475135253129,0.0005424880100739133,0.03311391508267872,0.0032952087486034527
12,0.0025919713917701573,0.018990870070242766,0.02494040021499254,0.005595915518724237
13,,,0.04269878355982891,0.002607113696778886
14,,,0.06300638814988616,0.0018175875290030953
15,,,0.08426217837991287,0.0025880909610485163
16,,,0.12152912218338074,0.0016252064256242855
17,,,0.16837410767300884,0.0019732067324094377
18,,,0.2132804919954198,0.002650210361305277
19,,,0.05672143876914128,0.0017826828183728706
20,,,0.05554589854601399,0.002278032440902432
21,,,0.053782936466738714,0.003953071121407352
22,,,0.0702735526384099,0.0015265458627486293
23,,,0.09736482085952691,0.002918549575204428
24,,,0.08836143954740941,0.0027373093614779884
25,,,0.12397587701514168,0.0008541309259174603
26,,,0.0844869722601452,0.001433583868320895
27,,,0.12224680763344548,0.004136233134455875
28,,,0.12324425759386204,5.660680873431845e-05
29,,,0.03304051194841879,0.00010905512468224077
30,,,0.05085425239985502,0.0003339718353187369
31,,,0.07908714053991907,3.727925187200613e-05
32,,,0.04040884599012776,7.177669362320146e-06
33,,,0.033818547749234526,1.2997716480237202e-06
34,,,0.04522745431927311,3.7268779819994132e-06
35,,,0.04555405086658325,2.9181710540521067e-07
36,,,0.004976442966683876,7.95064489006289e-07
37,,,3.299346094517348e-07,2.269813550995961e-06
38,,,1.2206862595487588e-07,5.6277315702334985e-06
39,,,3.767307092351353e-07,1.6267296485531098e-05
40,,,2.537439882129489e-07,5.303564226572806e-05
41,,,8.184351529010002e-07,7.77515295925854e-05
42,,,2.065332565923346e-06,8.160031187081043e-05
43,,,5.90320953841844e-07,0.00014304056007988477
44,,,1.3766907576905209e-06,0.00041972502276941447
45,,,1.5165523115629365e-06,0.0011239657548863776
46,,,3.476006136761635e-06,0.0016164083828977109
47,,,1.4521351759182653e-05,0.0038666233078704713
48,,,5.2512458565884864e-05,0.0029260931817314674
